Lag,Autocorrelation
1,0.7489909507497495
2,0.4979819014994683
3,0.24697285224923324
4,-0.004036197001021086
5,-0.004040221125648225
6,-0.004044245250275365
7,-0.004048269374902504
8,-0.004052293499529644
9,-0.004056317624156784
10,-0.004060341748783923
11,-0.004064365873411063
12,-0.004068389998038204
13,-0.004072414122665343
14,-0.0040764382472924824
15,-0.004080462371919622
16,-0.004084486496546762
17,-0.004088510621173902
18,-0.004092534745801042
19,-0.004096558870428181
20,-0.004100582995055321
